               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.039171,            0.048421,            0.014805,             0.71966,             0.62813,             0.70069,             0.44077,            0.034171,            0.011846,            0.019693,            0.008812,            0.008812,            0.008812
                  38,            0.038704,            0.048885,            0.014499,             0.72038,             0.62319,             0.69387,             0.42632,            0.034431,            0.011696,            0.022506,            0.008779,            0.008779,            0.008779
                  39,            0.038808,            0.048632,            0.014616,             0.69956,             0.67963,             0.72127,             0.45263,            0.034241,            0.012005,            0.021667,            0.008746,            0.008746,            0.008746
                  40,            0.038385,            0.049385,            0.015153,             0.73575,             0.57792,             0.68299,             0.43488,            0.033034,            0.011717,            0.020478,            0.008713,            0.008713,            0.008713
                  41,            0.038082,            0.047341,            0.014503,             0.70621,             0.63446,             0.70365,             0.43418,            0.032691,            0.011671,            0.019103,             0.00868,             0.00868,             0.00868
                  42,            0.037698,            0.048085,            0.014273,             0.71877,             0.61144,             0.69072,             0.43958,            0.032941,            0.011699,            0.021884,            0.008647,            0.008647,            0.008647
                  43,             0.03765,             0.04784,            0.014182,             0.74228,             0.62875,             0.71344,             0.44824,            0.033223,            0.011761,            0.019751,            0.008614,            0.008614,            0.008614
                  44,             0.03768,            0.047891,            0.013608,             0.71693,             0.66009,             0.72937,              0.4582,            0.032887,            0.011485,            0.019444,            0.008581,            0.008581,            0.008581
                  45,              0.0379,            0.050567,            0.013378,             0.68075,             0.67988,              0.7066,             0.45576,            0.033788,            0.011658,            0.018336,            0.008548,            0.008548,            0.008548
                  46,            0.037151,             0.04891,            0.012881,             0.72108,             0.68589,             0.72003,             0.45985,            0.032733,            0.011539,            0.019374,            0.008515,            0.008515,            0.008515
                  47,            0.036986,            0.047574,             0.01333,             0.68488,             0.68145,              0.7191,             0.45167,            0.033736,            0.011922,            0.020025,            0.008482,            0.008482,            0.008482
                  48,            0.037409,            0.048832,            0.013426,             0.69925,             0.63839,             0.70153,             0.44265,            0.034195,            0.011828,            0.018865,            0.008449,            0.008449,            0.008449
