               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087883,            0.036191,            0.067863,             0.07241,             0.27779,             0.05935,            0.021805,            0.058827,            0.018347,            0.061484,             0.00194,             0.00194,             0.08254
                   1,            0.058589,            0.034823,            0.059268,             0.37168,             0.25192,             0.10948,             0.05566,             0.04621,            0.015506,            0.057831,           0.0038515,           0.0038515,            0.064951
                   2,            0.054572,            0.030727,            0.055076,             0.49771,             0.20965,             0.14799,            0.064787,              0.0474,            0.013266,            0.051454,           0.0057244,           0.0057244,            0.047324
                   3,            0.052186,            0.030234,            0.050504,             0.45296,             0.32211,             0.22398,             0.10733,            0.043562,            0.013762,            0.046975,           0.0075586,           0.0075586,            0.029659
                   4,            0.051674,            0.030307,            0.046545,              0.3548,             0.26999,             0.20014,            0.090276,            0.044241,            0.014685,            0.044475,           0.0093543,           0.0093543,            0.011954
                   5,            0.050113,            0.030424,            0.043203,             0.33824,             0.27799,             0.22619,             0.10281,            0.045663,            0.015693,             0.04364,            0.009505,            0.009505,            0.009505
                   6,            0.048671,            0.030717,            0.039779,             0.47772,             0.29191,             0.32267,             0.15866,            0.043006,            0.014699,            0.037241,            0.009505,            0.009505,            0.009505
                   7,            0.047645,             0.03008,            0.036833,             0.45195,             0.44871,             0.39982,             0.20921,            0.041502,            0.013743,            0.031501,            0.009406,            0.009406,            0.009406
                   8,            0.046728,            0.029125,            0.034817,             0.46769,             0.43739,             0.43705,             0.22616,            0.041674,            0.013732,            0.032219,            0.009307,            0.009307,            0.009307
                   9,            0.045487,             0.02951,            0.032561,             0.47076,             0.50413,             0.47506,             0.24014,            0.041756,            0.013047,            0.029042,            0.009208,            0.009208,            0.009208
                  10,            0.044545,            0.029051,            0.030324,              0.5145,             0.53059,             0.51279,             0.27762,            0.040685,            0.013271,            0.028277,            0.009109,            0.009109,            0.009109
                  11,            0.043982,            0.028692,            0.028519,             0.46269,             0.55692,             0.49987,             0.26639,            0.039387,            0.013552,            0.026234,             0.00901,             0.00901,             0.00901
                  12,            0.043102,            0.028568,            0.026519,             0.57474,             0.49813,             0.53922,             0.30256,             0.03895,            0.013059,            0.025234,            0.008911,            0.008911,            0.008911
                  13,            0.043029,            0.028614,             0.02639,             0.60309,             0.52689,             0.57048,             0.31517,            0.038883,            0.012243,            0.025107,            0.008812,            0.008812,            0.008812
                  14,            0.042115,            0.028367,            0.024174,             0.63056,             0.57324,              0.6111,             0.34671,             0.03799,            0.012596,            0.021835,            0.008713,            0.008713,            0.008713
                  15,            0.041969,            0.027995,            0.023842,             0.62198,             0.59462,             0.61441,             0.35448,            0.038035,            0.012264,            0.022672,            0.008614,            0.008614,            0.008614
                  16,            0.041163,            0.027953,             0.02404,             0.62174,              0.5894,             0.60677,              0.3505,             0.03779,            0.011972,            0.021695,            0.008515,            0.008515,            0.008515
                  17,            0.040239,            0.025965,            0.022047,             0.69055,             0.58823,             0.65514,             0.39998,             0.03674,            0.011698,            0.019615,            0.008416,            0.008416,            0.008416
                  18,            0.040319,            0.027208,            0.022719,             0.65136,             0.56521,             0.61713,             0.36015,            0.037186,            0.012013,            0.020076,            0.008317,            0.008317,            0.008317
                  19,             0.03974,            0.026357,            0.021347,             0.69572,              0.5573,             0.63505,             0.35777,            0.037918,            0.012653,             0.02105,            0.008218,            0.008218,            0.008218
                  20,            0.039804,            0.026452,            0.020608,             0.62836,             0.65231,             0.66858,             0.38966,            0.039087,            0.012084,            0.020673,            0.008119,            0.008119,            0.008119
                  21,            0.039597,            0.026957,            0.019034,             0.65065,             0.59142,             0.62357,             0.36756,            0.037071,            0.012116,            0.021348,             0.00802,             0.00802,             0.00802
                  22,             0.03912,            0.025641,            0.021175,             0.67698,             0.58198,             0.65072,             0.39635,            0.037173,            0.011879,            0.018224,            0.007921,            0.007921,            0.007921
                  23,            0.038748,             0.02632,            0.020182,             0.59837,             0.62906,             0.63433,             0.38326,            0.036865,            0.012054,            0.020976,            0.007822,            0.007822,            0.007822
                  24,            0.038645,            0.025726,            0.019359,             0.67078,             0.66675,             0.67693,             0.39931,            0.034288,             0.01147,            0.017198,            0.007723,            0.007723,            0.007723
                  25,            0.038522,            0.025877,            0.018294,             0.70834,             0.64987,             0.68498,             0.42536,            0.036126,            0.011587,            0.018258,            0.007624,            0.007624,            0.007624
                  26,            0.037095,            0.025204,            0.018056,             0.67587,             0.64843,             0.67354,             0.41483,            0.034731,            0.011638,            0.019841,            0.007525,            0.007525,            0.007525
                  27,            0.037066,            0.025623,            0.017371,             0.71465,             0.63466,             0.68386,             0.42575,            0.033777,            0.011355,            0.022464,            0.007426,            0.007426,            0.007426
                  28,            0.037774,            0.024669,            0.016692,              0.7288,             0.65242,              0.7108,             0.43921,            0.033581,             0.01162,             0.01742,            0.007327,            0.007327,            0.007327
                  29,            0.037118,            0.024931,            0.016457,              0.7526,             0.64706,             0.71044,             0.42587,            0.036126,            0.011656,            0.017897,            0.007228,            0.007228,            0.007228
                  30,            0.037006,            0.024872,            0.016347,             0.77965,             0.63419,             0.71838,             0.43885,             0.03494,             0.01111,            0.018057,            0.007129,            0.007129,            0.007129
                  31,            0.036725,            0.024141,            0.016241,             0.73109,             0.67042,             0.71938,             0.45352,            0.033705,            0.011262,            0.017729,             0.00703,             0.00703,             0.00703
                  32,            0.035727,            0.024217,            0.015414,             0.79091,             0.66299,              0.7395,             0.46079,            0.034008,            0.011215,            0.019053,            0.006931,            0.006931,            0.006931
                  33,            0.035451,            0.024722,              0.0157,             0.77451,             0.66086,             0.72606,             0.46155,            0.034102,             0.01088,            0.019172,            0.006832,            0.006832,            0.006832
                  34,            0.035879,            0.024513,            0.015017,             0.70764,             0.69281,             0.71951,             0.44833,            0.035257,            0.010995,             0.01823,            0.006733,            0.006733,            0.006733
                  35,            0.035678,            0.023873,            0.014554,             0.80071,             0.66324,             0.75037,             0.47194,            0.032485,            0.011381,            0.017841,            0.006634,            0.006634,            0.006634
                  36,            0.035075,             0.02412,            0.015717,              0.7078,             0.68888,             0.70896,             0.43941,            0.034526,            0.011241,             0.01759,            0.006535,            0.006535,            0.006535
                  37,            0.034985,            0.024045,            0.015024,             0.69889,             0.71001,             0.73924,             0.48182,             0.03255,            0.011177,            0.017725,            0.006436,            0.006436,            0.006436
                  38,            0.034617,            0.024175,            0.014317,              0.7795,             0.66991,             0.74412,             0.48371,            0.032951,            0.011048,            0.017437,            0.006337,            0.006337,            0.006337
                  39,            0.034875,            0.023934,            0.013952,             0.71559,             0.72741,             0.74393,             0.48457,            0.032326,            0.011301,            0.015938,            0.006238,            0.006238,            0.006238
                  40,            0.034138,            0.023543,            0.013669,             0.77903,             0.66924,             0.76489,             0.49084,            0.033729,            0.011021,             0.01727,            0.006139,            0.006139,            0.006139
                  41,            0.034194,            0.023452,            0.014076,             0.76073,             0.69979,             0.75514,             0.47441,            0.032684,            0.010903,            0.018744,             0.00604,             0.00604,             0.00604
                  42,            0.034098,            0.023202,            0.013416,             0.77149,             0.66921,             0.74788,             0.48024,            0.032696,            0.011274,            0.016869,            0.005941,            0.005941,            0.005941
                  43,            0.034064,            0.023319,            0.014067,             0.70837,             0.71721,             0.75038,             0.47026,            0.033674,            0.011041,            0.016729,            0.005842,            0.005842,            0.005842
