               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.036254,            0.024934,            0.016132,             0.68014,             0.64091,             0.70078,             0.42148,            0.034165,            0.011671,            0.019301,            0.008812,            0.008812,            0.008812
                  38,            0.036167,             0.02507,            0.015728,             0.78044,             0.67723,             0.74231,             0.46841,            0.033499,            0.011317,            0.018101,            0.008779,            0.008779,            0.008779
                  39,            0.036578,            0.024837,            0.015578,              0.6684,             0.69589,             0.71109,             0.44319,            0.033274,            0.011873,            0.018971,            0.008746,            0.008746,            0.008746
                  40,            0.035589,            0.024327,            0.015284,             0.76108,             0.65828,             0.74469,             0.46506,            0.032994,            0.011018,             0.02103,            0.008713,            0.008713,            0.008713
                  41,            0.035711,            0.024206,            0.015015,             0.74658,             0.62993,             0.70966,             0.43735,            0.032795,            0.011284,            0.019038,             0.00868,             0.00868,             0.00868
                  42,            0.035663,            0.023914,            0.014347,             0.71117,             0.66747,             0.69644,             0.42477,            0.035341,            0.011826,            0.019548,            0.008647,            0.008647,            0.008647
                  43,            0.035287,            0.023991,             0.01475,             0.69873,             0.68063,             0.73095,             0.46879,             0.03299,            0.011016,            0.017463,            0.008614,            0.008614,            0.008614
                  44,            0.035044,            0.023579,            0.013501,             0.69499,             0.68288,              0.7279,             0.46195,            0.034354,            0.011288,            0.018321,            0.008581,            0.008581,            0.008581
                  45,            0.035166,            0.023664,            0.014457,             0.67921,             0.72865,             0.71761,             0.46247,            0.033935,            0.011207,            0.018941,            0.008548,            0.008548,            0.008548
                  46,            0.035233,            0.023977,            0.014601,             0.70014,             0.70081,             0.72574,             0.46621,            0.033059,            0.011187,            0.016932,            0.008515,            0.008515,            0.008515
                  47,              0.0347,             0.02347,            0.014092,             0.75613,             0.67755,             0.75352,             0.48151,            0.032928,            0.011031,            0.016619,            0.008482,            0.008482,            0.008482
                  48,            0.034497,            0.023658,            0.013415,             0.75216,             0.68738,             0.75005,              0.4785,            0.032965,            0.011072,            0.016986,            0.008449,            0.008449,            0.008449
                  49,            0.035017,            0.023621,            0.014681,             0.66681,             0.72903,             0.73161,             0.45717,            0.033766,            0.011303,            0.018514,            0.008416,            0.008416,            0.008416
                  50,            0.035233,            0.023696,            0.013473,             0.78165,             0.67186,             0.74811,             0.47892,            0.033118,             0.01123,            0.020576,            0.008383,            0.008383,            0.008383
                  51,            0.034741,             0.02311,            0.014611,             0.73703,              0.6946,             0.75098,             0.49169,            0.031965,            0.011074,            0.018531,             0.00835,             0.00835,             0.00835
                  52,            0.034824,            0.022937,             0.01336,             0.71433,             0.70861,             0.73887,             0.47908,            0.032982,             0.01114,            0.016586,            0.008317,            0.008317,            0.008317
                  53,            0.034709,            0.023468,            0.013297,             0.75553,             0.71858,             0.76028,             0.49686,            0.032492,            0.011038,            0.017755,            0.008284,            0.008284,            0.008284
                  54,            0.033826,            0.022947,            0.012977,             0.75322,             0.70419,             0.76275,             0.49501,            0.031916,            0.010915,            0.018435,            0.008251,            0.008251,            0.008251
