               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.04049,            0.026847,            0.018413,             0.66345,             0.60046,             0.64308,             0.37537,            0.038201,            0.012299,             0.01773,           0.0094225,           0.0094225,           0.0094225
                  37,            0.039847,            0.026953,            0.018183,             0.68701,             0.56614,             0.62928,             0.36241,            0.037276,            0.012345,            0.018996,            0.009406,            0.009406,            0.009406
                  38,            0.040695,            0.027076,            0.018838,             0.67372,             0.56601,             0.61615,             0.35148,            0.038493,            0.012438,            0.018877,           0.0093895,           0.0093895,           0.0093895
                  39,            0.040088,             0.02624,            0.017754,             0.59349,             0.62789,             0.63324,             0.35846,            0.038704,            0.012281,            0.019226,            0.009373,            0.009373,            0.009373
                  40,            0.039761,            0.025969,             0.01721,             0.65893,             0.62733,             0.65668,             0.38749,            0.037342,            0.011925,            0.017244,           0.0093565,           0.0093565,           0.0093565
                  41,            0.038684,            0.026519,            0.016164,             0.75767,             0.58057,             0.67963,              0.4062,            0.037489,            0.011727,            0.015822,             0.00934,             0.00934,             0.00934
                  42,            0.037866,            0.025628,            0.016698,             0.69274,             0.63741,             0.68193,              0.4001,            0.037583,            0.011884,             0.01835,           0.0093235,           0.0093235,           0.0093235
                  43,            0.038692,            0.025728,            0.015976,             0.70477,             0.63387,             0.68219,             0.39218,            0.036796,            0.011938,            0.016713,            0.009307,            0.009307,            0.009307
                  44,            0.039232,            0.026325,            0.016383,              0.6353,             0.61999,              0.6587,             0.39835,            0.037713,            0.011771,             0.01757,           0.0092905,           0.0092905,           0.0092905
                  45,            0.037984,            0.025132,            0.015436,             0.67628,             0.65655,             0.68847,             0.41356,            0.037887,            0.011707,            0.018372,            0.009274,            0.009274,            0.009274
                  46,            0.037525,            0.025526,            0.015617,             0.69344,             0.66111,              0.7087,             0.41827,            0.036564,            0.011612,            0.016715,           0.0092575,           0.0092575,           0.0092575
                  47,            0.037593,            0.024404,            0.015691,             0.74042,             0.67332,             0.72869,             0.44049,            0.036245,            0.011441,            0.017543,            0.009241,            0.009241,            0.009241
                  48,             0.03723,            0.025453,              0.0149,             0.71954,             0.60181,             0.66806,             0.39877,             0.03673,              0.0117,            0.015799,           0.0092245,           0.0092245,           0.0092245
                  49,            0.037459,            0.024937,            0.014941,             0.72067,             0.65266,             0.71267,             0.43238,            0.036397,            0.011284,            0.017635,            0.009208,            0.009208,            0.009208
                  50,            0.036889,            0.025495,            0.014935,             0.74275,             0.63556,             0.68965,             0.41543,            0.037179,            0.011592,            0.015662,           0.0091915,           0.0091915,           0.0091915
                  51,            0.037007,            0.024825,            0.015553,             0.73939,             0.65406,             0.72021,             0.44504,            0.036124,            0.011052,            0.017176,            0.009175,            0.009175,            0.009175
                  52,            0.037007,            0.025104,            0.014226,             0.69098,             0.66879,             0.69873,             0.43292,            0.035596,             0.01112,            0.016082,           0.0091585,           0.0091585,           0.0091585
                  53,            0.036179,            0.024492,            0.013794,               0.796,             0.59215,             0.72021,             0.44954,            0.036673,            0.011354,            0.015705,            0.009142,            0.009142,            0.009142
                  54,            0.036116,            0.024021,            0.014011,             0.70134,             0.68335,             0.71869,             0.43261,             0.03623,            0.011407,            0.015893,           0.0091255,           0.0091255,           0.0091255
                  55,            0.035651,            0.024505,            0.013572,             0.72896,             0.68192,             0.72201,             0.44104,            0.036432,            0.011186,            0.014499,            0.009109,            0.009109,            0.009109
                  56,            0.036042,            0.023891,            0.013447,             0.75787,             0.66944,             0.73241,             0.43519,            0.035648,            0.011273,            0.016971,           0.0090925,           0.0090925,           0.0090925
                  57,            0.035374,            0.023557,             0.01316,             0.75448,             0.67103,             0.73559,             0.45589,            0.034799,            0.011424,            0.015904,            0.009076,            0.009076,            0.009076
                  58,            0.035278,            0.024011,            0.013167,             0.72393,             0.64014,             0.71513,             0.44292,            0.034604,            0.011675,             0.01498,           0.0090595,           0.0090595,           0.0090595
                  59,             0.03488,            0.023755,            0.013157,               0.714,             0.64562,             0.69941,              0.4303,            0.035213,            0.011434,            0.017221,            0.009043,            0.009043,            0.009043
                  60,            0.034986,            0.023041,             0.01367,             0.74703,             0.66304,             0.71853,             0.45101,            0.035114,            0.011322,            0.016798,           0.0090265,           0.0090265,           0.0090265
                  61,            0.034558,            0.023394,             0.01236,             0.76917,             0.65813,             0.73805,             0.46052,            0.034417,            0.011321,            0.015592,             0.00901,             0.00901,             0.00901
                  62,            0.034414,            0.023504,            0.012695,             0.73199,             0.71192,             0.74564,              0.4685,             0.03478,            0.010973,            0.015814,           0.0089935,           0.0089935,           0.0089935
                  63,            0.034415,            0.023585,            0.012268,             0.79579,             0.62211,             0.73508,             0.48004,            0.034601,            0.011432,             0.01656,            0.008977,            0.008977,            0.008977
                  64,            0.033768,            0.022913,            0.012534,             0.76667,             0.65941,             0.74807,             0.45949,            0.033876,            0.011506,            0.017611,           0.0089605,           0.0089605,           0.0089605
                  65,            0.033683,             0.02286,            0.011582,             0.74672,             0.68062,             0.73683,             0.45405,            0.034378,            0.011151,            0.015616,            0.008944,            0.008944,            0.008944
                  66,            0.033954,            0.022819,            0.012084,             0.81534,             0.65608,             0.74925,             0.47609,            0.033035,            0.010836,            0.015272,           0.0089275,           0.0089275,           0.0089275
                  67,             0.03358,            0.022995,            0.011586,             0.74326,             0.71407,             0.76532,             0.48935,              0.0342,            0.011051,            0.015206,            0.008911,            0.008911,            0.008911
                  68,            0.033812,            0.022758,            0.011208,             0.69671,             0.67376,             0.71664,             0.45283,            0.033836,            0.011389,            0.015595,           0.0088945,           0.0088945,           0.0088945
                  69,            0.033091,            0.022361,            0.012109,             0.72609,             0.71434,             0.74631,             0.46733,            0.033439,            0.011171,             0.01726,            0.008878,            0.008878,            0.008878
                  70,             0.03379,            0.022658,            0.011832,             0.74632,             0.69854,              0.7261,              0.4628,            0.034829,            0.010944,            0.016832,           0.0088615,           0.0088615,           0.0088615
                  71,            0.033375,              0.0222,             0.01172,             0.80372,             0.65044,             0.73864,             0.47172,              0.0343,            0.011152,            0.016791,            0.008845,            0.008845,            0.008845
                  72,            0.033138,            0.022942,            0.011583,             0.75351,             0.68711,              0.7373,             0.46696,             0.03431,            0.011209,            0.014439,           0.0088285,           0.0088285,           0.0088285
                  73,            0.032992,            0.022303,            0.011626,             0.71815,             0.73678,             0.74542,             0.47379,            0.033815,               0.011,            0.016057,            0.008812,            0.008812,            0.008812
                  74,             0.03269,            0.022202,            0.011483,              0.7339,             0.73501,             0.75573,             0.48892,             0.03359,            0.010894,            0.017068,           0.0087955,           0.0087955,           0.0087955
                  75,            0.031781,            0.022188,            0.011121,             0.72004,             0.69347,             0.72291,             0.47352,            0.033115,             0.01109,            0.015927,            0.008779,            0.008779,            0.008779
                  76,            0.032634,            0.022195,            0.011491,             0.78882,             0.67181,              0.7441,             0.47859,            0.035695,             0.01115,            0.015579,           0.0087625,           0.0087625,           0.0087625
                  77,            0.033297,              0.0226,            0.011499,             0.76135,              0.6972,             0.74595,             0.48091,            0.033746,            0.010746,            0.015575,            0.008746,            0.008746,            0.008746
                  78,            0.032641,            0.022321,            0.010871,             0.77639,             0.70443,             0.75685,             0.49098,            0.033193,              0.0109,            0.015549,           0.0087295,           0.0087295,           0.0087295
                  79,            0.032355,            0.021723,            0.010506,              0.7641,              0.6887,              0.7404,             0.47511,            0.033808,            0.010879,            0.015879,            0.008713,            0.008713,            0.008713
                  80,            0.032146,            0.021506,             0.01079,             0.76069,             0.69762,             0.75097,             0.47768,            0.034006,            0.010806,            0.016553,           0.0086965,           0.0086965,           0.0086965
                  81,            0.032033,            0.021498,            0.010461,             0.79398,             0.67299,             0.75642,             0.49295,            0.033722,            0.011174,            0.017136,             0.00868,             0.00868,             0.00868
                  82,            0.032314,            0.021965,            0.011408,             0.78349,             0.67897,             0.75349,             0.49307,            0.033245,            0.011262,            0.015499,           0.0086635,           0.0086635,           0.0086635
                  83,            0.031935,            0.021872,            0.010411,             0.82657,             0.68076,              0.7771,             0.51056,            0.033958,            0.010808,             0.01695,            0.008647,            0.008647,            0.008647
                  84,             0.03189,            0.021763,            0.010548,             0.75908,             0.71393,             0.75399,             0.49778,            0.033097,            0.011011,             0.01518,           0.0086305,           0.0086305,           0.0086305
                  85,            0.031684,            0.021725,            0.010024,             0.75667,             0.71612,              0.7671,             0.51264,            0.032234,            0.010946,            0.015709,            0.008614,            0.008614,            0.008614
                  86,            0.031736,            0.021522,           0.0099694,             0.76166,             0.77902,             0.79358,             0.52374,            0.032075,             0.01085,             0.01532,           0.0085975,           0.0085975,           0.0085975
                  87,            0.031531,            0.021588,            0.009788,             0.75847,             0.69883,              0.7599,             0.49848,            0.033276,            0.010765,            0.016794,            0.008581,            0.008581,            0.008581
                  88,            0.031679,            0.021085,           0.0097059,              0.8101,              0.6845,             0.77429,             0.50363,            0.033168,            0.010966,            0.014661,           0.0085645,           0.0085645,           0.0085645
                  89,            0.031131,            0.021367,            0.010446,             0.74215,             0.70714,             0.76886,             0.50336,            0.032053,            0.010584,            0.014688,            0.008548,            0.008548,            0.008548
                  90,            0.031157,             0.02162,           0.0093435,             0.73643,             0.72274,             0.76733,             0.50023,            0.032112,             0.01086,            0.015565,           0.0085315,           0.0085315,           0.0085315
                  91,            0.030322,            0.021131,            0.009524,             0.81959,             0.70482,             0.78355,             0.51469,            0.033103,            0.010937,             0.01322,            0.008515,            0.008515,            0.008515
                  92,            0.030923,            0.021062,           0.0096891,             0.75203,              0.7404,              0.7806,             0.51713,             0.03237,            0.010925,            0.015431,           0.0084985,           0.0084985,           0.0084985
